Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
MICE.JK,Multi Indocitra,Household & Personal Products,Consumer Defensive,71.18,6.72,4.63,5.04,3.09,2.95,0.76,492.00,52652,33300
0833.HK,Alltronics Holdings Ltd,Electronic Components,Technology,0.13,3.15,9.51,15.65,5.30,7.03,,0.405,96161,24000
1045.HK,ASatellite Holdings Ltd,Telecom Services,Communication Services,0.22,8.73,3.38,3.38,2.92,36.34,,1.92,1027978,96000
5075.KL,Plenitude Bhd,Real Estate - Development,Real Estate,0.21,6.52,4.70,4.07,3.21,5.37,0.38,1.36,31957,24200
GPRA.JK,Perdana Gapura Prima,Real Estate - Development,Real Estate,28.29,3.32,9.95,9.28,6.34,5.47,0.26,94.00,11534989,25869200
0831.HK,Convenience Retail Asia Ltd,Grocery Stores,Consumer Defensive,0.03,8.33,3.70,2.76,1.93,5.78,2.37,0.249,3098094,12132000
6114.KL,MKH Bhd,Real Estate - Development,Real Estate,0.13,7.85,4.06,4.99,2.20,6.45,,1.02,158738,249500
POPR.MI,Poligrafici Printing S.p.A.,Publishing,Communication Services,0.04,8.55,3.58,2.90,2.33,6.38,44.73,0.342,22095,148000
DHUNINV.BO,Dhunseri Investments Ltd,Capital Markets,Financial Services,221,6.56,4.54,2.10,2.64,6.85,,1450.00,249.9,1171
200726.SZ,Lu Thai Textile Co Ltd B,Textile Manufacturing,Consumer Cyclical,0.50,8.12,4.40,6.13,2.98,6.97,,4.04,129991,412384
AKW.PA,AKWEL S.A.,Auto Parts,Consumer Cyclical,1.38,5.30,6.07,6.58,4.17,31.57,,7.38,19220,524
DHUNINV.NS,Dhunseri Investments Ltd,Capital Markets,Financial Services,221,6.60,4.54,2.10,2.64,6.85,,1459.80,2963.1,1364
0912.HK,Suga International Holdings Ltd,Consumer Electronics,Technology,0.12,7.67,4.17,4.69,2.92,10.10,5.75,0.92,131581,96000
ALEXA.PA,Exacompta-Clairefontaine S.A.,Business Equipment & Supplies,Industrials,18.93,8.24,4.17,4.35,2.25,12.30,0.45,157.00,134.81,16
1480.HK,Yan Tat Group Holdings Ltd,Electronic Components,Technology,0.25,4.12,8.26,10.12,5.44,32.46,1.38,1.03,65333,12000
1508.HK,China Reinsurance (Group) Corp,Insurance - Reinsurance,Financial Services,0.27,3.33,10.68,2.73,2.18,7.87,,0.90,41762668,16888000
U06.SI,Singapore Land Group Ltd,Real Estate - Diversified,Real Estate,0.20,9.95,3.43,2.18,2.89,14.63,,2.000,76300,16600
5970.T,G-Tekt Corp,Auto Parts,Consumer Cyclical,289,5.68,6.51,5.20,4.08,21.78,3.24,1642.00,208676,43600
